Date,AvgSentiment,Polarity,ActivityDensity,WordDensity,Theme_Cartel,Theme_Russia,Theme_Crisis,Theme_Energy,Theme_Military,Theme_Politics,Theme_Leader,Theme_President,NegativeTone
20251213,-2.0851388451611368,8.1531525394953963,20.275091610087436,0.84343306595836143,4,636,2711,1146,1053,2576,2795,2208,5.1191456923282619
20251214,-1.8553924157130228,7.7956569416330233,20.454305251037635,0.74292128305681282,0,289,1776,457,634,1381,1547,1163,4.8255246786730215
20251215,-2.3640818755397741,7.3833262823999206,20.503595486768656,1.0486472825867803,2,480,3664,899,1666,2372,2761,2115,4.8737040789698511
20251216,-3.2932398072436908,7.8845890933717673,20.614912354788125,0.76921027652436891,7,596,3979,1244,1226,3687,3938,3304,5.5889144503077262
20251217,-3.7003385685473318,7.7339516517106244,20.924913689789474,0.91048644855337768,1,1232,6594,4865,2995,6514,6749,6002,5.7171451101289739
20251218,-2.68835432397832,7.6041039311528058,20.810581256381784,0.94590881329248888,3,1255,5449,3755,2269,5672,6014,5232,5.1462291275655643
20251219,-2.9630788124748895,7.7629308956587213,20.648288391040207,0.80599156263690563,13,987,3734,2225,1406,3618,3824,3275,5.3630048540668067
20251220,-3.5193664511549452,7.6217313632598271,20.453266593770973,1.1116069844865184,19,560,2904,2192,1351,2957,3197,2672,5.5705489072073844
20251221,-3.6965973176008351,7.49011195183311,20.377585005223882,1.1828975184608579,1,502,3257,2691,1299,2745,3115,2573,5.5933546347169711
20251222,-2.6365809493516235,7.1748915046340214,20.929504758240103,0.86904161982583483,2,1321,3966,3109,1583,3558,3852,3297,4.905736226992822
20251223,-2.8084821875577433,7.4096658164120344,21.772676768966136,0.997673290088685,5,1435,4409,3501,1536,4352,4708,4099,5.10907400198489
20251224,-2.8093065420325858,8.1152529119924122,20.391735518626863,0.978187300316342,7,1011,3158,2225,940,2500,2982,2301,5.462279727012497
20251225,-1.998487167049801,8.02358790547237,20.40708860664364,0.90093155776079525,2,517,1508,767,477,1278,1421,1122,5.0110375362610862
20251226,-1.8971347429540959,7.9613440973316587,20.120261529334584,0.63044895712982341,3,441,1936,823,681,1514,1634,1225,4.9292394201428786
20251227,-2.0334057023826015,7.6916504344174763,20.356423652969262,0.65388553302612973,3,244,1315,473,296,1018,1138,872,4.8625280684000423
20251228,-1.9502042750284851,7.5453961515243728,20.238889438147403,0.56730641889889322,4,264,1237,298,316,787,919,663,4.7478002132764265
20251229,-2.3232809278930815,7.1098357523146367,21.166674969151277,0.78377155540525589,7,522,2608,1143,857,2102,2272,1874,4.7165583401038615
20251230,-3.0729012376566414,7.4491295836760312,21.394163458399962,0.8570222153934971,2,637,3550,1405,1186,2961,3200,2739,5.261015410666336
20251231,-2.96938504042791,7.7355128801925641,20.801035625990107,0.76993666034549357,9,748,2880,1232,972,2438,2645,2284,5.3524489603102383
20260101,-3.2788339138351512,8.067224852304431,20.804129690873204,0.70834688903678722,1,454,2268,939,621,1971,2068,1770,5.6730293830697907
20260102,-2.9349935505292573,7.5009340225318848,20.825815688411744,0.91099167750487875,2,593,2637,1600,761,2231,2430,2063,5.2179637865305715
20260103,-3.2313119829314614,7.9390094640815123,20.678699201964307,1.43596796901243,38,6663,33739,12001,15178,31532,33679,30316,5.5851607235064966
20260104,-2.7818706281325514,7.7311017104569926,20.8159506203825,1.3058903620564617,233,5709,29119,13124,11571,28533,31408,27603,5.2564861692947682
20260105,-2.75046818564537,7.6907997470879144,20.880087642514329,1.1670135308354319,65,7418,34509,17036,12832,34805,38107,33303,5.2206339663666421
